DS_ID,GeoCode,Continent,Country,MacroRegion,Region,Province,DistrictUnit,PostCode
"CZ064","CZ064","European Union","Cekia","ČESKÁ REPUBLIKA","Jihovýchod","Jihomoravský kraj","",""
"CZ072","CZ072","European Union","Cekia","ČESKÁ REPUBLIKA","Střední Morava","Zlínský kraj","",""
"CZ071","CZ071","European Union","Cekia","ČESKÁ REPUBLIKA","Střední Morava","Olomoucký kraj","",""
"CZ080","CZ080","European Union","Cekia","ČESKÁ REPUBLIKA","Moravskoslezsko","Moravskoslezský kraj","",""
"CZZZZ","CZZZZ","European Union","Cekia","EXTRA-REGIO","Extra-Regio","Extra-Regio","",""
"DE119","DE119","European Union","Germany","BADEN-WÜRTTEMBERG","Stuttgart","Hohenlohekreis","",""
"DE118","DE118","European Union","Germany","BADEN-WÜRTTEMBERG","Stuttgart","Heilbronn, Landkreis","",""
"DE11D","DE11D","European Union","Germany","BADEN-WÜRTTEMBERG","Stuttgart","Ostalbkreis","",""
"DE11B","DE11B","European Union","Germany","BADEN-WÜRTTEMBERG","Stuttgart","Main-Tauber-Kreis","",""
"DE11C","DE11C","European Union","Germany","BADEN-WÜRTTEMBERG","Stuttgart","Heidenheim","",""
"DE117","DE117","European Union","Germany","BADEN-WÜRTTEMBERG","Stuttgart","Heilbronn, Stadtkreis","",""
"DE11A","DE11A","European Union","Germany","BADEN-WÜRTTEMBERG","Stuttgart","Schwäbisch Hall","",""
"DE115","DE115","European Union","Germany","BADEN-WÜRTTEMBERG","Stuttgart","Ludwigsburg","",""
"DE111","DE111","European Union","Germany","BADEN-WÜRTTEMBERG","Stuttgart","Stuttgart, Stadtkreis","",""
"DE112","DE112","European Union","Germany","BADEN-WÜRTTEMBERG","Stuttgart","Böblingen","",""
"DE114","DE114","European Union","Germany","BADEN-WÜRTTEMBERG","Stuttgart","Göppingen","",""
"DE113","DE113","European Union","Germany","BADEN-WÜRTTEMBERG","Stuttgart","Esslingen","",""
"DE116","DE116","European Union","Germany","BADEN-WÜRTTEMBERG","Stuttgart","Rems-Murr-Kreis","",""
"DE127","DE127","European Union","Germany","BADEN-WÜRTTEMBERG","Karlsruhe","Neckar-Odenwald-Kreis","",""
"DE123","DE123","European Union","Germany","BADEN-WÜRTTEMBERG","Karlsruhe","Karlsruhe, Landkreis","",""
"DE12B","DE12B","European Union","Germany","BADEN-WÜRTTEMBERG","Karlsruhe","Enzkreis","",""
"DE128","DE128","European Union","Germany","BADEN-WÜRTTEMBERG","Karlsruhe","Rhein-Neckar-Kreis","",""
"DE12A","DE12A","European Union","Germany","BADEN-WÜRTTEMBERG","Karlsruhe","Calw","",""
"DE126","DE126","European Union","Germany","BADEN-WÜRTTEMBERG","Karlsruhe","Mannheim, Stadtkreis","",""
"DE124","DE124","European Union","Germany","BADEN-WÜRTTEMBERG","Karlsruhe","Rastatt","",""
"DE129","DE129","European Union","Germany","BADEN-WÜRTTEMBERG","Karlsruhe","Pforzheim, Stadtkreis","",""
"DE122","DE122","European Union","Germany","BADEN-WÜRTTEMBERG","Karlsruhe","Karlsruhe, Stadtkreis","",""
"DE125","DE125","European Union","Germany","BADEN-WÜRTTEMBERG","Karlsruhe","Heidelberg, Stadtkreis","",""
"DE12C","DE12C","European Union","Germany","BADEN-WÜRTTEMBERG","Karlsruhe","Freudenstadt","",""
"DE121","DE121","European Union","Germany","BADEN-WÜRTTEMBERG","Karlsruhe","Baden-Baden, Stadtkreis","",""
"DE13A","DE13A","European Union","Germany","BADEN-WÜRTTEMBERG","Freiburg","Waldshut","",""
"DE137","DE137","European Union","Germany","BADEN-WÜRTTEMBERG","Freiburg","Tuttlingen","",""
"DE139","DE139","European Union","Germany","BADEN-WÜRTTEMBERG","Freiburg","Lörrach","",""
"DE134","DE134","European Union","Germany","BADEN-WÜRTTEMBERG","Freiburg","Ortenaukreis","",""
"DE132","DE132","European Union","Germany","BADEN-WÜRTTEMBERG","Freiburg","Breisgau-Hochschwarzwald","",""
"DE133","DE133","European Union","Germany","BADEN-WÜRTTEMBERG","Freiburg","Emmendingen","",""
"DE138","DE138","European Union","Germany","BADEN-WÜRTTEMBERG","Freiburg","Konstanz","",""
"DE136","DE136","European Union","Germany","BADEN-WÜRTTEMBERG","Freiburg","Schwarzwald-Baar-Kreis","",""
"DE131","DE131","European Union","Germany","BADEN-WÜRTTEMBERG","Freiburg","Freiburg im Breisgau, Stadtkreis","",""
"DE135","DE135","European Union","Germany","BADEN-WÜRTTEMBERG","Freiburg","Rottweil","",""
"DE148","DE148","European Union","Germany","BADEN-WÜRTTEMBERG","Tübingen","Ravensburg","",""
"DE142","DE142","European Union","Germany","BADEN-WÜRTTEMBERG","Tübingen","Tübingen, Landkreis","",""
"DE143","DE143","European Union","Germany","BADEN-WÜRTTEMBERG","Tübingen","Zollernalbkreis","",""
"DE145","DE145","European Union","Germany","BADEN-WÜRTTEMBERG","Tübingen","Alb-Donau-Kreis","",""
"DE141","DE141","European Union","Germany","BADEN-WÜRTTEMBERG","Tübingen","Reutlingen","",""
"DE147","DE147","European Union","Germany","BADEN-WÜRTTEMBERG","Tübingen","Bodenseekreis","",""
"DE146","DE146","European Union","Germany","BADEN-WÜRTTEMBERG","Tübingen","Biberach","",""
"DE149","DE149","European Union","Germany","BADEN-WÜRTTEMBERG","Tübingen","Sigmaringen","",""
"DE144","DE144","European Union","Germany","BADEN-WÜRTTEMBERG","Tübingen","Ulm, Stadtkreis","",""
"DE21I","DE21I","European Union","Germany","BAYERN","Oberbayern","Neuburg-Schrobenhausen","",""
"DE21M","DE21M","European Union","Germany","BAYERN","Oberbayern","Traunstein","",""
"DE211","DE211","European Union","Germany","BAYERN","Oberbayern","Ingolstadt, Kreisfreie Stadt","",""
"DE21N","DE21N","European Union","Germany","BAYERN","Oberbayern","Weilheim-Schongau","",""
"DE215","DE215","European Union","Germany","BAYERN","Oberbayern","Berchtesgadener Land","",""
"DE216","DE216","European Union","Germany","BAYERN","Oberbayern","Bad Tölz-Wolfratshausen","",""
"DE212","DE212","European Union","Germany","BAYERN","Oberbayern","München, Kreisfreie Stadt","",""
"DE218","DE218","European Union","Germany","BAYERN","Oberbayern","Ebersberg","",""
"DE219","DE219","European Union","Germany","BAYERN","Oberbayern","Eichstätt","",""
"DE21A","DE21A","European Union","Germany","BAYERN","Oberbayern","Erding","",""
"DE217","DE217","European Union","Germany","BAYERN","Oberbayern","Dachau","",""
"DE21G","DE21G","European Union","Germany","BAYERN","Oberbayern","Mühldorf a. Inn","",""
"DE21H","DE21H","European Union","Germany","BAYERN","Oberbayern","München, Landkreis","",""
"DE21J","DE21J","European Union","Germany","BAYERN","Oberbayern","Pfaffenhofen a. d. Ilm","",""
"DE21F","DE21F","European Union","Germany","BAYERN","Oberbayern","Miesbach","",""
"DE21L","DE21L","European Union","Germany","BAYERN","Oberbayern","Starnberg","",""
"DE21C","DE21C","European Union","Germany","BAYERN","Oberbayern","Fürstenfeldbruck","",""
"DE21D","DE21D","European Union","Germany","BAYERN","Oberbayern","Garmisch-Partenkirchen","",""
"DE21K","DE21K","European Union","Germany","BAYERN","Oberbayern","Rosenheim, Landkreis","",""
"DE21B","DE21B","European Union","Germany","BAYERN","Oberbayern","Freising","",""
"DE213","DE213","European Union","Germany","BAYERN","Oberbayern","Rosenheim, Kreisfreie Stadt","",""
"DE214","DE214","European Union","Germany","BAYERN","Oberbayern","Altötting","",""
"DE21E","DE21E","European Union","Germany","BAYERN","Oberbayern","Landsberg a. Lech","",""
"DE22C","DE22C","European Union","Germany","BAYERN","Niederbayern","Dingolfing-Landau","",""
"DE221","DE221","European Union","Germany","BAYERN","Niederbayern","Landshut, Kreisfreie Stadt","",""
"DE223","DE223","European Union","Germany","BAYERN","Niederbayern","Straubing, Kreisfreie Stadt","",""
"DE224","DE224","European Union","Germany","BAYERN","Niederbayern","Deggendorf","",""
"DE22B","DE22B","European Union","Germany","BAYERN","Niederbayern","Straubing-Bogen","",""
"DE22A","DE22A","European Union","Germany","BAYERN","Niederbayern","Rottal-Inn","",""
"DE226","DE226","European Union","Germany","BAYERN","Niederbayern","Kelheim","",""
"DE228","DE228","European Union","Germany","BAYERN","Niederbayern","Passau, Landkreis","",""
"DE227","DE227","European Union","Germany","BAYERN","Niederbayern","Landshut, Landkreis","",""
"DE225","DE225","European Union","Germany","BAYERN","Niederbayern","Freyung-Grafenau","",""
"DE222","DE222","European Union","Germany","BAYERN","Niederbayern","Passau, Kreisfreie Stadt","",""
"DE229","DE229","European Union","Germany","BAYERN","Niederbayern","Regen","",""
"DE23A","DE23A","European Union","Germany","BAYERN","Oberpfalz","Tirschenreuth","",""
"DE232","DE232","European Union","Germany","BAYERN","Oberpfalz","Regensburg, Kreisfreie Stadt","",""
"DE239","DE239","European Union","Germany","BAYERN","Oberpfalz","Schwandorf","",""
"DE236","DE236","European Union","Germany","BAYERN","Oberpfalz","Neumarkt i. d. OPf.","",""
"DE231","DE231","European Union","Germany","BAYERN","Oberpfalz","Amberg, Kreisfreie Stadt","",""
"DE238","DE238","European Union","Germany","BAYERN","Oberpfalz","Regensburg, Landkreis","",""
"DE233","DE233","European Union","Germany","BAYERN","Oberpfalz","Weiden i. d. Opf, Kreisfreie Stadt","",""
"DE235","DE235","European Union","Germany","BAYERN","Oberpfalz","Cham","",""
"DE237","DE237","European Union","Germany","BAYERN","Oberpfalz","Neustadt a. d. Waldnaab","",""
"DE234","DE234","European Union","Germany","BAYERN","Oberpfalz","Amberg-Sulzbach","",""
"DE242","DE242","European Union","Germany","BAYERN","Oberfranken","Bayreuth, Kreisfreie Stadt","",""
"DE241","DE241","European Union","Germany","BAYERN","Oberfranken","Bamberg, Kreisfreie Stadt","",""
"DE245","DE245","European Union","Germany","BAYERN","Oberfranken","Bamberg, Landkreis","",""
"DE246","DE246","European Union","Germany","BAYERN","Oberfranken","Bayreuth, Landkreis","",""
"DE244","DE244","European Union","Germany","BAYERN","Oberfranken","Hof, Kreisfreie Stadt","",""
"DE24D","DE24D","European Union","Germany","BAYERN","Oberfranken","Wunsiedel i. Fichtelgebirge","",""
"DE249","DE249","European Union","Germany","BAYERN","Oberfranken","Hof, Landkreis","",""
"DE243","DE243","European Union","Germany","BAYERN","Oberfranken","Coburg, Kreisfreie Stadt","",""
"DE24C","DE24C","European Union","Germany","BAYERN","Oberfranken","Lichtenfels","",""
"DE248","DE248","European Union","Germany","BAYERN","Oberfranken","Forchheim","",""
"DE247","DE247","European Union","Germany","BAYERN","Oberfranken","Coburg, Landkreis","",""
"DE24A","DE24A","European Union","Germany","BAYERN","Oberfranken","Kronach","",""
"DE24B","DE24B","European Union","Germany","BAYERN","Oberfranken","Kulmbach","",""
"DE253","DE253","European Union","Germany","BAYERN","Mittelfranken","Fürth, Kreisfreie Stadt","",""
"DE254","DE254","European Union","Germany","BAYERN","Mittelfranken","Nürnberg, Kreisfreie Stadt","",""
"DE259","DE259","European Union","Germany","BAYERN","Mittelfranken","Nürnberger Land","",""
"DE258","DE258","European Union","Germany","BAYERN","Mittelfranken","Fürth, Landkreis","",""
"DE252","DE252","European Union","Germany","BAYERN","Mittelfranken","Erlangen, Kreisfreie Stadt","",""
"DE257","DE257","European Union","Germany","BAYERN","Mittelfranken","Erlangen-Höchstadt","",""
"DE251","DE251","European Union","Germany","BAYERN","Mittelfranken","Ansbach, Kreisfreie Stadt","",""
"DE256","DE256","European Union","Germany","BAYERN","Mittelfranken","Ansbach, Landkreis","",""
"DE25C","DE25C","European Union","Germany","BAYERN","Mittelfranken","Weißenburg-Gunzenhausen","",""
"DE255","DE255","European Union","Germany","BAYERN","Mittelfranken","Schwabach, Kreisfreie Stadt","",""
"DE25B","DE25B","European Union","Germany","BAYERN","Mittelfranken","Roth","",""
"DE25A","DE25A","European Union","Germany","BAYERN","Mittelfranken","Neustadt a. d. Aisch-Bad Windsheim","",""
"DE266","DE266","European Union","Germany","BAYERN","Unterfranken","Rhön-Grabfeld","",""
"DE262","DE262","European Union","Germany","BAYERN","Unterfranken","Schweinfurt, Kreisfreie Stadt","",""
"DE265","DE265","European Union","Germany","BAYERN","Unterfranken","Bad Kissingen","",""
"DE26B","DE26B","European Union","Germany","BAYERN","Unterfranken","Schweinfurt, Landkreis","",""
"DE261","DE261","European Union","Germany","BAYERN","Unterfranken","Aschaffenburg, Kreisfreie Stadt","",""
"DE267","DE267","European Union","Germany","BAYERN","Unterfranken","Haßberge","",""
"DE264","DE264","European Union","Germany","BAYERN","Unterfranken","Aschaffenburg, Landkreis","",""
"DE26C","DE26C","European Union","Germany","BAYERN","Unterfranken","Würzburg, Landkreis","",""
"DE26A","DE26A","European Union","Germany","BAYERN","Unterfranken","Main-Spessart","",""
"DE269","DE269","European Union","Germany","BAYERN","Unterfranken","Miltenberg","",""
"DE263","DE263","European Union","Germany","BAYERN","Unterfranken","Würzburg, Kreisfreie Stadt","",""
"DE268","DE268","European Union","Germany","BAYERN","Unterfranken","Kitzingen","",""
"DE27E","DE27E","European Union","Germany","BAYERN","Schwaben","Oberallgäu","",""
"DE274","DE274","European Union","Germany","BAYERN","Schwaben","Memmingen, Kreisfreie Stadt","",""
"DE271","DE271","European Union","Germany","BAYERN","Schwaben","Augsburg, Kreisfreie Stadt","",""
"DE273","DE273","European Union","Germany","BAYERN","Schwaben","Kempten (Allgäu), Kreisfreie Stadt","",""
"DE277","DE277","European Union","Germany","BAYERN","Schwaben","Dillingen a.d. Donau","",""
"DE27D","DE27D","European Union","Germany","BAYERN","Schwaben","Donau-Ries","",""
"DE275","DE275","European Union","Germany","BAYERN","Schwaben","Aichach-Friedberg","",""
"DE272","DE272","European Union","Germany","BAYERN","Schwaben","Kaufbeuren, Kreisfreie Stadt","",""
"DE27B","DE27B","European Union","Germany","BAYERN","Schwaben","Ostallgäu","",""
"DE27A","DE27A","European Union","Germany","BAYERN","Schwaben","Lindau (Bodensee)","",""
"DE278","DE278","European Union","Germany","BAYERN","Schwaben","Günzburg","",""
"DE27C","DE27C","European Union","Germany","BAYERN","Schwaben","Unterallgäu","",""
"DE276","DE276","European Union","Germany","BAYERN","Schwaben","Augsburg, Landkreis","",""
"DE279","DE279","European Union","Germany","BAYERN","Schwaben","Neu-Ulm","",""
"DE300","DE300","European Union","Germany","BERLIN","Berlin","Berlin","",""
"DE411","DE411","European Union","Germany","BRANDENBURG","Brandenburg - Nordost","Frankfurt (Oder), Kreisfreie Stadt","",""
"DE413","DE413","European Union","Germany","BRANDENBURG","Brandenburg - Nordost","Märkisch-Oderland","",""
"DE415","DE415","European Union","Germany","BRANDENBURG","Brandenburg - Nordost","Oder-Spree","",""
"DE412","DE412","European Union","Germany","BRANDENBURG","Brandenburg - Nordost","Barnim","",""
"DE417","DE417","European Union","Germany","BRANDENBURG","Brandenburg - Nordost","Prignitz","",""
"DE416","DE416","European Union","Germany","BRANDENBURG","Brandenburg - Nordost","Ostprignitz-Ruppin","",""
"DE418","DE418","European Union","Germany","BRANDENBURG","Brandenburg - Nordost","Uckermark","",""
"DE414","DE414","European Union","Germany","BRANDENBURG","Brandenburg - Nordost","Oberhavel","",""
"DE422","DE422","European Union","Germany","BRANDENBURG","Brandenburg - Südwest","Cottbus, Kreisfreie Stadt","",""
"DE421","DE421","European Union","Germany","BRANDENBURG","Brandenburg - Südwest","Brandenburg an der Havel, Kreisfreie Stadt","",""
"DE426","DE426","European Union","Germany","BRANDENBURG","Brandenburg - Südwest","Havelland","",""
"DE428","DE428","European Union","Germany","BRANDENBURG","Brandenburg - Südwest","Potsdam-Mittelmark","",""
"DE425","DE425","European Union","Germany","BRANDENBURG","Brandenburg - Südwest","Elbe-Elster","",""
"DE427","DE427","European Union","Germany","BRANDENBURG","Brandenburg - Südwest","Oberspreewald-Lausitz","",""
"DE423","DE423","European Union","Germany","BRANDENBURG","Brandenburg - Südwest","Potsdam, Kreisfreie Stadt","",""
"DE42A","DE42A","European Union","Germany","BRANDENBURG","Brandenburg - Südwest","Teltow-Fläming","",""
"DE429","DE429","European Union","Germany","BRANDENBURG","Brandenburg - Südwest","Spree-Neiße","",""
"DE424","DE424","European Union","Germany","BRANDENBURG","Brandenburg - Südwest","Dahme-Spreewald","",""
"DE502","DE502","European Union","Germany","BREMEN","Bremen","Bremerhaven, Kreisfreie Stadt","",""
"DE501","DE501","European Union","Germany","BREMEN","Bremen","Bremen, Kreisfreie Stadt","",""
"DE600","DE600","European Union","Germany","HAMBURG","Hamburg","Hamburg","",""
"DE713","DE713","European Union","Germany","HESSEN","Darmstadt","Offenbach am Main, Kreisfreie Stadt","",""
"DE719","DE719","European Union","Germany","HESSEN","Darmstadt","Main-Kinzig-Kreis","",""
"DE717","DE717","European Union","Germany","HESSEN","Darmstadt","Groß-Gerau","",""
"DE711","DE711","European Union","Germany","HESSEN","Darmstadt","Darmstadt, Kreisfreie Stadt","",""
"DE71D","DE71D","European Union","Germany","HESSEN","Darmstadt","Rheingau-Taunus-Kreis","",""
"DE71A","DE71A","European Union","Germany","HESSEN","Darmstadt","Main-Taunus-Kreis","",""
"DE71B","DE71B","European Union","Germany","HESSEN","Darmstadt","Odenwaldkreis","",""
"DE71C","DE71C","European Union","Germany","HESSEN","Darmstadt","Offenbach, Landkreis","",""
"DE718","DE718","European Union","Germany","HESSEN","Darmstadt","Hochtaunuskreis","",""
"DE71E","DE71E","European Union","Germany","HESSEN","Darmstadt","Wetteraukreis","",""
"DE714","DE714","European Union","Germany","HESSEN","Darmstadt","Wiesbaden, Kreisfreie Stadt","",""
"DE712","DE712","European Union","Germany","HESSEN","Darmstadt","Frankfurt am Main, Kreisfreie Stadt","",""
"DE716","DE716","European Union","Germany","HESSEN","Darmstadt","Darmstadt-Dieburg","",""
"DE715","DE715","European Union","Germany","HESSEN","Darmstadt","Bergstraße","",""
"DE724","DE724","European Union","Germany","HESSEN","Gießen","Marburg-Biedenkopf","",""
"DE721","DE721","European Union","Germany","HESSEN","Gießen","Gießen, Landkreis","",""
"DE723","DE723","European Union","Germany","HESSEN","Gießen","Limburg-Weilburg","",""
"DE722","DE722","European Union","Germany","HESSEN","Gießen","Lahn-Dill-Kreis","",""
"DE725","DE725","European Union","Germany","HESSEN","Gießen","Vogelsbergkreis","",""
"DE733","DE733","European Union","Germany","HESSEN","Kassel","Hersfeld-Rotenburg","",""
"DE734","DE734","European Union","Germany","HESSEN","Kassel","Kassel, Landkreis","",""
"DE735","DE735","European Union","Germany","HESSEN","Kassel","Schwalm-Eder-Kreis","",""
"DE736","DE736","European Union","Germany","HESSEN","Kassel","Waldeck-Frankenberg","",""
"DE737","DE737","European Union","Germany","HESSEN","Kassel","Werra-Meißner-Kreis","",""
"DE731","DE731","European Union","Germany","HESSEN","Kassel","Kassel, Kreisfreie Stadt","",""
"DE732","DE732","European Union","Germany","HESSEN","Kassel","Fulda","",""
"DE808","DE808","European Union","Germany","MECKLENBURG-VORPOMMERN","Mecklenburg-Vorpommern","Demmin","",""
"DE80D","DE80D","European Union","Germany","MECKLENBURG-VORPOMMERN","Mecklenburg-Vorpommern","Nordvorpommern","",""
"DE80E","DE80E","European Union","Germany","MECKLENBURG-VORPOMMERN","Mecklenburg-Vorpommern","Nordwestmecklenburg","",""
"DE80C","DE80C","European Union","Germany","MECKLENBURG-VORPOMMERN","Mecklenburg-Vorpommern","Müritz","",""
"DE804","DE804","European Union","Germany","MECKLENBURG-VORPOMMERN","Mecklenburg-Vorpommern","Schwerin, Kreisfreie Stadt","",""
"DE805","DE805","European Union","Germany","MECKLENBURG-VORPOMMERN","Mecklenburg-Vorpommern","Stralsund, Kreisfreie Stadt","",""
"DE803","DE803","European Union","Germany","MECKLENBURG-VORPOMMERN","Mecklenburg-Vorpommern","Rostock, Kreisfreie Stadt","",""
"DE80I","DE80I","European Union","Germany","MECKLENBURG-VORPOMMERN","Mecklenburg-Vorpommern","Uecker-Randow","",""
"DE809","DE809","European Union","Germany","MECKLENBURG-VORPOMMERN","Mecklenburg-Vorpommern","Güstrow","",""
"DE801","DE801","European Union","Germany","MECKLENBURG-VORPOMMERN","Mecklenburg-Vorpommern","Greifswald, Kreisfreie Stadt","",""
"DE807","DE807","European Union","Germany","MECKLENBURG-VORPOMMERN","Mecklenburg-Vorpommern","Bad Doberan","",""
"DE802","DE802","European Union","Germany","MECKLENBURG-VORPOMMERN","Mecklenburg-Vorpommern","Neubrandenburg, Kreisfreie Stadt","",""
"DE80G","DE80G","European Union","Germany","MECKLENBURG-VORPOMMERN","Mecklenburg-Vorpommern","Parchim","",""
"DE806","DE806","European Union","Germany","MECKLENBURG-VORPOMMERN","Mecklenburg-Vorpommern","Wismar, Kreisfreie Stadt","",""
"DE80H","DE80H","European Union","Germany","MECKLENBURG-VORPOMMERN","Mecklenburg-Vorpommern","Rügen","",""
"DE80F","DE80F","European Union","Germany","MECKLENBURG-VORPOMMERN","Mecklenburg-Vorpommern","Ostvorpommern","",""
"DE80A","DE80A","European Union","Germany","MECKLENBURG-VORPOMMERN","Mecklenburg-Vorpommern","Ludwigslust","",""
"DE80B","DE80B","European Union","Germany","MECKLENBURG-VORPOMMERN","Mecklenburg-Vorpommern","Mecklenburg-Strelitz","",""
"DE917","DE917","European Union","Germany","NIEDERSACHSEN","Braunschweig","Helmstedt","",""
"DE916","DE916","European Union","Germany","NIEDERSACHSEN","Braunschweig","Goslar","",""
"DE913","DE913","European Union","Germany","NIEDERSACHSEN","Braunschweig","Wolfsburg, Kreisfreie Stadt","",""
"DE91B","DE91B","European Union","Germany","NIEDERSACHSEN","Braunschweig","Wolfenbüttel","",""
"DE91A","DE91A","European Union","Germany","NIEDERSACHSEN","Braunschweig","Peine","",""
"DE911","DE911","European Union","Germany","NIEDERSACHSEN","Braunschweig","Braunschweig, Kreisfreie Stadt","",""
"DE919","DE919","European Union","Germany","NIEDERSACHSEN","Braunschweig","Osterode am Harz","",""
"DE915","DE915","European Union","Germany","NIEDERSACHSEN","Braunschweig","Göttingen","",""
"DE918","DE918","European Union","Germany","NIEDERSACHSEN","Braunschweig","Northeim","",""
"DE914","DE914","European Union","Germany","NIEDERSACHSEN","Braunschweig","Gifhorn","",""
"DE912","DE912","European Union","Germany","NIEDERSACHSEN","Braunschweig","Salzgitter, Kreisfreie Stadt","",""
"DE925","DE925","European Union","Germany","NIEDERSACHSEN","Hannover","Hildesheim","",""
"DE923","DE923","European Union","Germany","NIEDERSACHSEN","Hannover","Hameln-Pyrmont","",""
"DE929","DE929","European Union","Germany","NIEDERSACHSEN","Hannover","Region Hannover","",""
"DE922","DE922","European Union","Germany","NIEDERSACHSEN","Hannover","Diepholz","",""
"DE928","DE928","European Union","Germany","NIEDERSACHSEN","Hannover","Schaumburg","",""
"DE927","DE927","European Union","Germany","NIEDERSACHSEN","Hannover","Nienburg (Weser)","",""
"DE926","DE926","European Union","Germany","NIEDERSACHSEN","Hannover","Holzminden","",""
"DE931","DE931","European Union","Germany","NIEDERSACHSEN","Lüneburg","Celle","",""
"DE937","DE937","European Union","Germany","NIEDERSACHSEN","Lüneburg","Rotenburg (Wümme)","",""
"DE932","DE932","European Union","Germany","NIEDERSACHSEN","Lüneburg","Cuxhaven","",""
"DE93B","DE93B","European Union","Germany","NIEDERSACHSEN","Lüneburg","Verden","",""
"DE935","DE935","European Union","Germany","NIEDERSACHSEN","Lüneburg","Lüneburg, Landkreis","",""
"DE938","DE938","European Union","Germany","NIEDERSACHSEN","Lüneburg","Soltau-Fallingbostel","",""
"DE934","DE934","European Union","Germany","NIEDERSACHSEN","Lüneburg","Lüchow-Dannenberg","",""
"DE936","DE936","European Union","Germany","NIEDERSACHSEN","Lüneburg","Osterholz","",""
"DE93A","DE93A","European Union","Germany","NIEDERSACHSEN","Lüneburg","Uelzen","",""
"DE933","DE933","European Union","Germany","NIEDERSACHSEN","Lüneburg","Harburg","",""
"DE939","DE939","European Union","Germany","NIEDERSACHSEN","Lüneburg","Stade","",""
"DE945","DE945","European Union","Germany","NIEDERSACHSEN","Weser-Ems","Wilhelmshaven, Kreisfreie Stadt","",""
"DE946","DE946","European Union","Germany","NIEDERSACHSEN","Weser-Ems","Ammerland","",""
"DE94B","DE94B","European Union","Germany","NIEDERSACHSEN","Weser-Ems","Grafschaft Bentheim","",""
"DE941","DE941","European Union","Germany","NIEDERSACHSEN","Weser-Ems","Delmenhorst, Kreisfreie Stadt","",""
"DE94E","DE94E","European Union","Germany","NIEDERSACHSEN","Weser-Ems","Osnabrück, Landkreis","",""
"DE94F","DE94F","European Union","Germany","NIEDERSACHSEN","Weser-Ems","Vechta","",""
"DE94G","DE94G","European Union","Germany","NIEDERSACHSEN","Weser-Ems","Wesermarsch","",""
"DE944","DE944","European Union","Germany","NIEDERSACHSEN","Weser-Ems","Osnabrück, Kreisfreie Stadt","",""
"DE94A","DE94A","European Union","Germany","NIEDERSACHSEN","Weser-Ems","Friesland (D)","",""
"DE947","DE947","European Union","Germany","NIEDERSACHSEN","Weser-Ems","Aurich","",""
"DE94H","DE94H","European Union","Germany","NIEDERSACHSEN","Weser-Ems","Wittmund","",""
"DE943","DE943","European Union","Germany","NIEDERSACHSEN","Weser-Ems","Oldenburg (Oldenburg), Kreisfreie Stadt","",""
"DE949","DE949","European Union","Germany","NIEDERSACHSEN","Weser-Ems","Emsland","",""
"DE942","DE942","European Union","Germany","NIEDERSACHSEN","Weser-Ems","Emden, Kreisfreie Stadt","",""
"DE94D","DE94D","European Union","Germany","NIEDERSACHSEN","Weser-Ems","Oldenburg, Landkreis","",""
"DE948","DE948","European Union","Germany","NIEDERSACHSEN","Weser-Ems","Cloppenburg","",""
"DE94C","DE94C","European Union","Germany","NIEDERSACHSEN","Weser-Ems","Leer","",""
"DEA1E","DEA1E","European Union","Germany","NORDRHEIN-WESTFALEN","Düsseldorf","Viersen","",""
"DEA13","DEA13","European Union","Germany","NORDRHEIN-WESTFALEN","Düsseldorf","Essen, Kreisfreie Stadt","",""
"DEA12","DEA12","European Union","Germany","NORDRHEIN-WESTFALEN","Düsseldorf","Duisburg, Kreisfreie Stadt","",""
"DEA1D","DEA1D","European Union","Germany","NORDRHEIN-WESTFALEN","Düsseldorf","Rhein-Kreis Neuss","",""
"DEA16","DEA16","European Union","Germany","NORDRHEIN-WESTFALEN","Düsseldorf","Mülheim an der Ruhr,Kreisfreie Stadt","",""
"DEA14","DEA14","European Union","Germany","NORDRHEIN-WESTFALEN","Düsseldorf","Krefeld, Kreisfreie Stadt","",""
"DEA11","DEA11","European Union","Germany","NORDRHEIN-WESTFALEN","Düsseldorf","Düsseldorf, Kreisfreie Stadt","",""
"DEA15","DEA15","European Union","Germany","NORDRHEIN-WESTFALEN","Düsseldorf","Mönchengladbach, Kreisfreie Stadt","",""
"DEA19","DEA19","European Union","Germany","NORDRHEIN-WESTFALEN","Düsseldorf","Solingen, Kreisfreie Stadt","",""
"DEA1F","DEA1F","European Union","Germany","NORDRHEIN-WESTFALEN","Düsseldorf","Wesel","",""
"DEA1B","DEA1B","European Union","Germany","NORDRHEIN-WESTFALEN","Düsseldorf","Kleve","",""
"DEA1C","DEA1C","European Union","Germany","NORDRHEIN-WESTFALEN","Düsseldorf","Mettmann","",""
"DEA1A","DEA1A","European Union","Germany","NORDRHEIN-WESTFALEN","Düsseldorf","Wuppertal, Kreisfreie Stadt","",""
"DEA17","DEA17","European Union","Germany","NORDRHEIN-WESTFALEN","Düsseldorf","Oberhausen, Kreisfreie Stadt","",""
"DEA18","DEA18","European Union","Germany","NORDRHEIN-WESTFALEN","Düsseldorf","Remscheid, Kreisfreie Stadt","",""
"DEA21","DEA21","European Union","Germany","NORDRHEIN-WESTFALEN","Köln","Aachen, Kreisfreie Stadt","",""
"DEA25","DEA25","European Union","Germany","NORDRHEIN-WESTFALEN","Köln","Aachen, Kreis","",""
